Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Allowed Users	Allowed Computers	
µTorrent (TCP-In)		All	Yes	Allow	No	C:\Users\Casey\AppData\Roaming\uTorrent\uTorrent.exe	Any	Any	TCP	Any	Any	Any	Any	
µTorrent (UDP-In)		All	Yes	Allow	No	C:\Users\Casey\AppData\Roaming\uTorrent\uTorrent.exe	Any	Any	UDP	Any	Any	Any	Any	
Akamai NetSession Interface		Private	Yes	Allow	No	Any	Any	Any	TCP	1059	Any	Any	Any	
Akamai NetSession Interface		Private	Yes	Allow	No	Any	Any	Any	UDP	5000	Any	Any	Any	
Akamai NetSession Interface		Public	Yes	Allow	No	Any	Any	Any	TCP	1037	Any	Any	Any	
Akamai NetSession Interface		Public	Yes	Allow	No	Any	Any	Any	TCP	1041	Any	Any	Any	
Akamai NetSession Interface		Public	Yes	Allow	No	Any	Any	Any	UDP	5000	Any	Any	Any	
Dropbox		Private	Yes	Allow	No	C:\Users\Casey\AppData\Roaming\Dropbox\bin\Dropbox.exe	Any	Any	TCP	Any	Any	Any	Any	
Dropbox		Private	Yes	Allow	No	C:\Users\Casey\AppData\Roaming\Dropbox\bin\Dropbox.exe	Any	Any	UDP	Any	Any	Any	Any	
dropbox.exe		Public	Yes	Allow	No	C:\users\casey\appdata\roaming\dropbox\bin\dropbox.exe	Any	Any	TCP	Any	Any	Any	Any	
dropbox.exe		Public	Yes	Allow	No	C:\users\casey\appdata\roaming\dropbox\bin\dropbox.exe	Any	Any	UDP	Any	Any	Any	Any	
Java(TM) Platform SE binary		Public	Yes	Block	No	C:\windows\system32\javaw.exe	Any	Any	UDP	Any	Any	Any	Any	
Java(TM) Platform SE binary		Public	Yes	Block	No	C:\windows\system32\javaw.exe	Any	Any	TCP	Any	Any	Any	Any	
Java(TM) Platform SE binary		Private	Yes	Allow	No	C:\windows\system32\javaw.exe	Any	Any	UDP	Any	Any	Any	Any	
Java(TM) Platform SE binary		Private	Yes	Allow	No	C:\windows\system32\javaw.exe	Any	Any	TCP	Any	Any	Any	Any	
Local KMS Host		Public	Yes	Block	No	C:\windows\kmsemulator.exe	Any	Any	TCP	Any	Any	Any	Any	
Local KMS Host		Private	Yes	Allow	No	C:\windows\kmsemulator.exe	Any	Any	TCP	Any	Any	Any	Any	
Local KMS Host		Private	Yes	Allow	No	C:\windows\kmsemulator.exe	Any	Any	UDP	Any	Any	Any	Any	
Local KMS Host		Public	Yes	Block	No	C:\windows\kmsemulator.exe	Any	Any	UDP	Any	Any	Any	Any	
Microsoft Lync		Private	Yes	Allow	No	C:\Program Files (x86)\Microsoft Office\Office15\lync.exe	Any	Any	UDP	Any	Any	Any	Any	
Microsoft Lync		Private	Yes	Allow	No	C:\Program Files (x86)\Microsoft Office\Office15\lync.exe	Any	Any	TCP	Any	Any	Any	Any	
Microsoft Lync		Public	Yes	Allow	No	C:\Program Files (x86)\Microsoft Office\Office15\lync.exe	Any	Any	TCP	Any	Any	Any	Any	
Microsoft Lync		Public	Yes	Allow	No	C:\Program Files (x86)\Microsoft Office\Office15\lync.exe	Any	Any	UDP	Any	Any	Any	Any	
Microsoft Lync UcMapi		Public	Yes	Allow	No	C:\Program Files (x86)\Microsoft Office\Office15\UcMapi.exe	Any	Any	UDP	Any	Any	Any	Any	
Microsoft Lync UcMapi		Private	Yes	Allow	No	C:\Program Files (x86)\Microsoft Office\Office15\UcMapi.exe	Any	Any	TCP	Any	Any	Any	Any	
Microsoft Lync UcMapi		Private	Yes	Allow	No	C:\Program Files (x86)\Microsoft Office\Office15\UcMapi.exe	Any	Any	UDP	Any	Any	Any	Any	
Microsoft Lync UcMapi		Public	Yes	Allow	No	C:\Program Files (x86)\Microsoft Office\Office15\UcMapi.exe	Any	Any	TCP	Any	Any	Any	Any	
Microsoft Office Outlook		Private, Public	Yes	Allow	No	C:\Program Files (x86)\Microsoft Office\Office15\outlook.exe	Any	Any	UDP	6004	Any	Any	Any	
netsession_win.exe		Private	Yes	Allow	No	C:\users\casey\appdata\local\akamai\netsession_win.exe	Any	Any	UDP	Any	Any	Any	Any	
netsession_win.exe		Private	Yes	Allow	No	C:\users\casey\appdata\local\akamai\netsession_win.exe	Any	Any	TCP	Any	Any	Any	Any	
netsession_win.exe		Public	Yes	Block	No	C:\users\casey\appdata\local\akamai\netsession_win.exe	Any	Any	TCP	Any	Any	Any	Any	
netsession_win.exe		Public	Yes	Block	No	C:\users\casey\appdata\local\akamai\netsession_win.exe	Any	Any	UDP	Any	Any	Any	Any	
python		Public	Yes	Block	No	C:\python34\python.exe	Any	Any	TCP	Any	Any	Any	Any	
python		Public	Yes	Block	No	C:\python34\python.exe	Any	Any	UDP	Any	Any	Any	Any	
python		Private	Yes	Allow	No	C:\python34\python.exe	Any	Any	UDP	Any	Any	Any	Any	
python		Private	Yes	Allow	No	C:\python34\python.exe	Any	Any	TCP	Any	Any	Any	Any	
pythonw		Public	Yes	Block	No	C:\python34\pythonw.exe	Any	Any	TCP	Any	Any	Any	Any	
pythonw		Public	Yes	Block	No	C:\python34\pythonw.exe	Any	Any	UDP	Any	Any	Any	Any	
pythonw		Private	Yes	Allow	No	C:\python34\pythonw.exe	Any	Any	TCP	Any	Any	Any	Any	
pythonw		Private	Yes	Allow	No	C:\python34\pythonw.exe	Any	Any	UDP	Any	Any	Any	Any	
spotify.exe		Private	Yes	Allow	No	C:\users\casey\appdata\roaming\spotify\spotify.exe	Any	Any	TCP	Any	Any	Any	Any	
spotify.exe		Public	Yes	Allow	No	C:\users\casey\appdata\roaming\spotify\spotify.exe	Any	Any	TCP	Any	Any	Any	Any	
spotify.exe		Private	Yes	Allow	No	C:\users\casey\appdata\roaming\spotify\spotify.exe	Any	Any	UDP	Any	Any	Any	Any	
spotify.exe		Public	Yes	Allow	No	C:\users\casey\appdata\roaming\spotify\spotify.exe	Any	Any	UDP	Any	Any	Any	Any	
